instrument,timeframe,buy_or_sell,trade_strategy,ending_val,starting_val,sl,tp,RR,win_rate,num_trades,risk_size,actual_number_of_trades,lookup_range,bullish_ma,bullish_candle,support,candle_size,delta_filter,delta_filter2,upper_wick,lower_wick,loop_number
AUD_CAD,M5,buy,ma_indicator,155328.5,10000,0.0005,0.009,18.0,0.0978,400,0.01,92,750,True,False,True,0.0005,0.0015,0.001,0.0,0.0,574
AUD_CAD,M5,sell,ma_indicator,158806.0,10000,0.001,0.009,9.0,0.1711,400,0.01,76,750,False,True,False,0.001,0.0015,0.003,0.0,0.0,1127
AUD_CHF,M5,buy,ma_indicator,134617.5,10000,0.0005,0.0025,5.0,0.2771,400,0.01,83,750,True,False,True,5e-05,0.004,0.007,0.0006,0.0,133
AUD_CHF,M5,sell,ma_indicator,577339.0,10000,0.0005,0.009,18.0,0.1146,400,0.01,96,250,False,True,False,5e-05,0.004,0.005,0.0,0.0006,986
AUD_JPY,M5,buy,ma_indicator,1973145.0,10000,0.05,0.9,18.0,0.1299,400,0.01,77,400,True,False,True,0.125,0.4,0.2,0.0,0.0,535
AUD_JPY,M5,sell,ma_indicator,216729.0,10000,0.075,0.9,12.0,0.1375,400,0.01,80,1000,False,True,True,0.025,0.2,0.7,0.06,0.02,948
AUD_NZD,M5,buy,ma_indicator,898917.0,10000,0.0005,0.009,18.0,0.1205,400,0.01,83,400,True,False,False,5e-05,0.0015,0.0015,0.0006,0.0,362
AUD_NZD,M5,sell,ma_indicator,688142.0,10000,0.0005,0.009,18.0,0.1128,400,0.01,133,750,False,True,False,0.001,0.0005,0.005,0.0,0.0,1179
AUD_USD,M5,buy,ma_indicator,406385.0,10000,0.0005,0.009,18.0,0.1071,400,0.01,112,400,True,False,False,0.00075,0.0,0.003,0.0002,0.0,919
AUD_USD,M5,sell,ma_indicator,100440.5,10000,0.00125,0.009,7.2,0.2,400,0.01,95,1000,False,True,True,0.001,0.0015,0.004,0.0002,0.0,49
CAD_CHF,M5,buy,ma_indicator,484378.0,10000,0.0005,0.009,18.0,0.1111,400,0.01,90,150,True,False,False,0.00025,0.004,0.0005,0.0,0.0,58
CAD_CHF,M5,sell,ma_indicator,156683.0,10000,0.0005,0.007,14.0,0.1198,400,0.01,167,750,False,True,False,0.00025,0.0005,0.0015,0.0,0.0,545
CAD_JPY,M5,buy,ma_indicator,898917.0,10000,0.05,0.9,18.0,0.1149,400,0.01,87,400,True,False,True,0.15,0.4,0.5,0.0,0.0,212
CAD_JPY,M5,sell,ma_indicator,5734257.5,10000,0.05,0.7,14.0,0.1809,400,0.01,94,400,False,True,False,0.005,0.3,0.5,0.0,0.06,164
CHF_JPY,M5,buy,ma_indicator,373667.5,10000,0.05,0.9,18.0,0.1102,400,0.01,118,250,True,False,True,0.125,0.4,0.3,0.0,0.0,135
CHF_JPY,M5,sell,ma_indicator,365291.0,10000,0.05,0.7,14.0,0.1316,400,0.01,76,500,False,True,True,0.125,0.4,0.2,0.02,0.0,1049
EUR_AUD,M5,buy,ma_indicator,2351829.0,10000,0.0005,0.009,18.0,0.1341,400,0.01,82,1000,True,False,False,0.0015,0.0015,0.004,0.0004,0.0,969
EUR_AUD,M5,sell,ma_indicator,688142.0,10000,0.0005,0.009,18.0,0.117,400,0.01,94,500,False,True,False,0.001,0.004,0.001,0.0,0.0,931
EUR_CAD,M5,buy,ma_indicator,149681.0,10000,0.00075,0.009,12.0,0.1364,400,0.01,88,750,True,False,True,0.0005,0.001,0.002,0.0,0.0,801
